1,0301,101,0,冠詞,a,１つの、１人の,①,,
2,0303,101,0,形容詞,able,・・・できる、能力のある,a②③④,,
3,0301,201,0,前置詞、副詞,about,【前】・・・について<br>【副】約、およそ,a②③④⑤,,
4,0302,201,0,前置詞,above,・・・の上に,a②③④⑤,,
5,0302,201,0,副詞,abroad,外国で、外国へ,a②③④⑤⑥,,
6,0303,201,0,動詞,accept,受け入れる,a②③④⑤⑥,,
7,0303,301,0,名詞,accident,事故、天災、災難,a②③④⑤⑥⑦⑧,,
8,0302,201,0,前置詞、副詞,across,【前】・・・を横切って、・・・を渡って、・・・の向こう側に<br>【副】横切って、渡って,a②③④⑤⑥,,
9,0303,101,0,動詞,act,行動する、作用する、行為.、（役を）演じる,a②③,,
10,0303,201,0,名詞,action,動作、行動,a②③④⑤⑥,,
11,0302,201,0,形容詞,active,活発な、積極的な,a②③④⑤⑥,,
12,0303,301,0,名詞,activity,活動、活躍、働き、活気,a②③④⑤⑥⑦⑧,,
13,0302,201,0,名詞,actor,俳優,a②③④⑤,,
14,0302,301,0,副詞,actually,実際に、実は,a②③④⑤⑥⑦⑧,,
15,0303,101,0,動詞,add,加える、足す,a②③,,
16,0302,301,0,名詞,addition,足し算、追加,a②③④⑤⑥⑦⑧,,
17,0303,201,0,名詞,address,住所、あて名,a②③④⑤⑥⑦,,
18,0303,201,0,名詞,adult,大人、成人,a②③④⑤,,
19,0303,301,0,名詞,advantage,有利な立場、利点、強み,a②③④⑤⑥⑦⑧⑨,,
20,0303,301,0,名詞,adventure,冒険,a②③④⑤⑥⑦⑧⑨,,
21,0302,201,0,名詞,advice,助言、忠告、アドバイス,a②③④⑤⑥,,
22,0302,201,0,形容詞,afraid,恐れて、怖がって,a②③④⑤⑥,,
23,0302,015,11,名詞,Africa,アフリカ,ａ②③④⑤⑥,,
24,0301,201,0,前置詞、接続詞,after,【前】・・・のあとに<br>【接】・・・のあとに、・・・してから,a②③④⑤,,
25,0301,301,0,名詞,afternoon,午後,a②③④⑤⑥⑦⑧⑨,,
26,0302,201,0,副詞,again,再び、また、もう一度,a②③④⑤,,
27,0303,201,0,前置詞,against,・・・に対する、・・・に対して、・・・に反対して,a②③④⑤⑥⑦,,
28,0303,101,0,名詞,age,年齢,a②③,,
29,0302,101,0,副詞,ago,・・・前に,a②③,,
30,0303,201,0,動詞,agree,同意する、賛成する,a②③④⑤,,
31,0303,101,0,名詞,air,空気、大気、態度,a②③,,
32,0302,201,0,名詞,airport,空港,a②③④⑤⑥⑦,,
33,0301,101,0,代名詞、形容詞、副詞,all,【形】すべての、全部の<br>【代】すべて、全部<br>【副】まったく、すっかり,a②③,,
34,0303,201,0,動詞,allow,許可する、許す,a②③④⑤,,
35,0301,201,0,副詞,almost,ほとんど,a②③④⑤⑥,,
36,0301,201,0,副詞,alone,１人で、ただ・・・だけで,a②③④⑤,,
37,0303,201,0,前置詞,along,（道・川など）に沿って,a②③④⑤,,
38,0303,201,0,副詞,already,すでに、もう,a②③④⑤⑥⑦,,
39,0302,101,0,副詞,also,・・・もまた、さらに,a②③④,,
40,0302,301,0,接続詞,although,・・・だけれど,a②③④⑤⑥⑦⑧,,
41,0302,201,0,副詞,always,いつも、常に,a②③④⑤⑥,,
42,0301,101,0,動詞,am,・・・である、（・・・に）いる、ある （主語が I の時の現在形）,a②,,
