001,1,数字①
002,2,数字②
003,3,数字③
004,4,数字④
005,5,数字⑤
006,6,時間①
007,7,時間②
008,8,時間③
009,9,曜日
010,10,1月～12月
011,11,色①
012,12,色②
013,13,色③
014,14,国①
015,15,国②
016,16,国③
017,17,方角
101,18,易しい①
102,19,易しい②
103,20,易しい③
104,21,易しい④
105,22,易しい⑤
106,23,易しい⑥
107,24,易しい⑦
108,25,易しい⑧
109,26,易しい⑨
110,27,易しい⑩
111,28,易しい⑪
112,29,易しい⑫
113,30,易しい⑬
114,31,易しい⑭
115,32,易しい⑮
201,33,標準①
202,34,標準②
203,35,標準③
204,36,標準④
205,37,標準⑤
206,38,標準⑥
207,39,標準⑦
208,40,標準⑧
209,41,標準⑨
210,42,標準⑩
211,43,標準⑪
212,44,標準⑫
213,45,標準⑬
214,46,標準⑭
215,47,標準⑮
301,48,難しい①
302,49,難しい②
303,50,難しい③
304,51,難しい④
305,52,難しい⑤
306,53,難しい⑥
307,54,難しい⑦
308,55,難しい⑧
309,56,難しい⑨
310,57,難しい⑩
311,58,難しい⑪
312,59,難しい⑫
313,60,難しい⑬
314,61,難しい⑭
315,62,難しい⑮
999,999,その他
